Date,Time,R_or_D,Before_or_After_Shooting,screen_name,text,case,race,mentions_terror,Shooting_related_terrorism
6/12/16,15:06:59,R,After,USRepDavidJolly,This is our Paris. Let us resolve today to always confront and defeat terror at the hands of evil so that this may never happen again. 2/2,Inside,Other,1,1
6/13/16,20:17:28,R,After,RepTomGraves,Flags are at half-staff in honor of the #Orlando terrorist attack victims. Please pray for the victims &amp; families. https://t.co/ryyTeodOwQ,Inside,Other,1,1
10/1/15,17:57:34,R,After,RepRobWoodall,Proud to support #HR3457. #NotOneCent of sanctions relief to #Iran until victims of its state-sponsored terrorism have been compensated.,General-Iran,,1,0
6/12/16,17:13:03,R,After,AustinScottGA08,Please join me in praying for the victims of the terror attack in Orlando last night. Let us pray for those we... https://t.co/2cqoBZBIxO,Inside,Other,1,1
6/13/16,12:04:07,R,After,CongressmanHice,"As we #PrayForOrlando, our Nation must recognize that radical Islamic terrorists are a threat to all Americans. https://t.co/UOT0aNuWnl",Inside,Other,1,1
7/17/15,13:46:45,R,After,SteveKingIA,"Finally! Moderate Muslims come to the streets of TN to show the face of the ""Religion of Peace"" to protest terrorism! http://t.co/4khcU0J8Se",Inside,Other,1,1
9/23/16,13:40:11,R,After,RepWalorski,"The administration already sent Iran $1.7 billion in cash, and we know at least some of that will be used to fund terrorism.",General-Iran,,1,0
9/23/16,13:39:38,R,After,RepWalorski,"We don’t negotiate with terrorists because it endangers Americans. Paying ransom to #Iran, a state sponsor of terrorism, is no different.",General-Iran,,1,0
7/7/16,19:54:15,R,After,RepWalorski,I spoke on the House floor today about the danger of releasing terrorist detainees from Gitmo. WATCH: https://t.co/PXPILQWerq,General-Guantanamo ,,1,0
6/12/16,21:24:28,R,After,RepWalorski,All Americans stand with the people of Orlando in the wake of today's terrorist attack. (1/2),Inside,Other,1,1
7/7/16,17:19:43,R,After,JerryMoran,Released #GITMO detainee whereabouts unknown as @Rio2016 #Olympics approach—detained terrorists must remain at GITMO https://t.co/aUjPsldXk8,General-Guantanamo ,,1,0
10/1/15,18:04:31,R,After,RepAndyBarr,House vote: #NotOneCent of sanctions relief for Iran before it compensates victims of its state-sponsored terrorism https://t.co/Nh5527CO6U,General-Iran,,1,0
4/22/13,19:55:28,R,After,RepAndyBarr,RT @DarrellIssa RT and share if you stand w/ me on getting answers to what happened in the #Benghazi terrorist attack http://t.co/n0uFhuAsC9,General-Islamic,,1,0
10/1/15,19:01:16,R,After,RepHalRogers,Rogers Votes for Kentucky Iranian Terror Victim's Family to be Compensated https://t.co/ysf2kH2wTh,General-Iran,,1,0
6/13/16,17:53:22,R,After,RepFleming,We mourn the loss of life in this terrorist attack: https://t.co/rsxKT5CXHw,Inside,Other,1,1
10/1/15,19:46:47,R,After,RepMoolenaar,Chief Warrant Officer Kenneth Welch of Michigan was a victim of Iranian sponsored terror in in Lebanon in 1984. https://t.co/V9MdrAsxPW,General-Iran,,1,0
10/1/15,19:46:09,R,After,RepMoolenaar,"Today, the House passed the Justice for Victims of Iranian Terrorism Act. Iran owes $43.5 billion to terror victims. https://t.co/pZ5Zi7L7Jb",General-Iran,,1,0
6/12/16,17:01:14,R,After,repdavetrott,Saddened by attack in #Orlando. Praying for victims. Reports of Islamic terrorism. America won't be intimidated by sinister ideologies.,Inside,Other,1,1
4/3/14,18:17:09,R,After,RepHuizenga,Just wrapped up speaking at a meeting hosted by @PCIAA on #TRIA (Terrorism Risk Insurance Act) http://t.co/6M1swmpBts,General,,1,0
7/7/16,17:27:04,R,After,RepMikeRogers,I have said it before but intel sharing is going to be key to defeating terrorism around the globe: https://t.co/hbQZRQXjZP,General,,1,0
6/12/16,14:59:24,R,After,petehoekstra,"Islamist terror likely cause of massacre in Fla. @TheIPT scrubbing electronic, law enforcement sources for more info on vile attack",Inside,Other,1,1
6/7/13,12:58:50,R,After,petehoekstra,Lost another tool in war on terrorists!  Leaks really do hurt our national security!,Inside,Other,1,0
9/27/12,21:08:31,R,After,petehoekstra,They knew it was the video but not that it was terrorism!,General-Islamic,,1,0
9/27/12,14:03:13,R,After,petehoekstra,Obama Administration clearly has misled America on Libyan attack.  These folks can't be trusted to fight terrorism!,General-Islamic,,1,0
6/13/16,1:00:12,R,After,repjohnkline,Vicky and I extend our prayers to families of victims of terrorist attack in Orlando. Stark reminder we are at war w/ Islamist extremists.,Inside,Other,1,1
2/26/16,20:56:18,R,After,MicheleBachmann,"This is tough but serious info every American should know.  It's elevated threat levels by terrorists against the US
https://t.co/2k6QPbwvMf",General,,1,0
9/23/16,18:54:19,R,After,RepAnnWagner,"Last night I voted to ensure the US never again makes ransom payments to Iran, the leading state sponsor of terror https://t.co/vRCsJeeCpV",General-Iran,,1,0
9/24/16,22:00:00,R,After,RepJasonSmith,"At a time when our country is under a constant threat of terrorism, more must be done to protect our security: https://t.co/3PDLtxLd4r",Inside,Other,1,1
9/23/16,14:11:47,R,After,RepHartzler,My statement on ending cash payments to world's leading state sponsor of terror --&gt; https://t.co/gUmjswl2dx,General-Iran,,1,0
6/13/16,19:06:47,R,After,RepSamGraves,My thoughts continue to be with all of those grieving from the act of terrorism Sunday in FL.Say a prayer for the victims and their families,Inside,Other,1,1
7/17/15,0:54:35,R,After,RepSamGraves,My thoughts and prayers are with the families of the four Marines lost in the terrorist attack today in Chattanooga.,Inside,Other,1,1
10/1/15,18:08:54,R,After,RepTrentKelly,Proud to support @RepMeehan's Justice for Victims of Iranian Terrorism Act #NotOneCent https://t.co/oX3lW6QL0o,General-Iran,,1,0
6/12/16,16:26:39,R,After,RepRyanZinke,Central Florida authorities are asking for blood donors to help victims of the terror attack in Orlando.,Inside,Other,1,1
6/12/16,14:01:55,R,After,RepRyanZinke,Saddened to wake up and see so many innocent lives lost in the terrorist attack in Orlando.,Inside,Other,1,1
6/13/16,13:15:41,R,After,PatrickMcHenry,In the coming days we must learn more about the terrorist attacker &amp; his ties to ISIS/radical Islam so we can prevent future attacks.,Inside,Other,1,1
10/2/15,17:54:28,R,After,PatrickMcHenry,terrorist proxies. Thanks @RepMeehan for your leadership on this important issue. Learn more here http://t.co/uwjj7dsWas. #NotOneCent (2/2),General,,1,0
10/1/15,19:51:40,R,After,RepReneeEllmers,I voted for  #NotOneCent to go to Iran until it pays the $43.5B owed to victims of terrorism. https://t.co/YagGlQHmaY,General-Iran,,1,0
10/1/15,18:36:17,R,After,RepWalterJones,Iran needs to compensate the victims of its terrorism. That's why I voted for H.R. 3457 today: https://t.co/oMLSOZtYtJ #nc03 #ncpol,General-Iran,,1,0
10/1/15,17:59:33,R,After,RepLanceNJ7,Iran must pay back the victims of their terrorism before they get a dime of sanctions relief from us.  https://t.co/M6TRcarqzc,General-Iran,,1,0
10/1/15,15:27:26,R,After,USRepRodney,Cosponsored @RepMeehan bill to provide #NotOneCent for Iranian regime until victims of Iran’s terror are compensated https://t.co/gPmWdWzyiK,General-Iran,,1,0
10/1/15,18:00:51,R,After,RepChrisSmith,Supporting court-ordered victim payments by the terror state of Iran is fundamental justice. Proud 2 support @RepMeehan's bill. #NotOneCent,General-Iran,,1,0
6/13/16,19:51:23,R,After,RepLoBiondo,In Washington for intelligence briefing on horrific anti-LGBT terror attack in Orlando. On @WPG1450 Tues 7am taking #SouthJersey calls,Inside,Other,1,1
6/13/16,19:14:31,R,After,RepStevePearce,"My thoughts and prayers continue to be with victims, families, and city of Orlando - we will not let terrorism win",Inside,Other,1,1
12/3/15,16:29:58,R,After,RepChrisCollins,"To ensure WNYers safety, I cosponsored H.R. 158, legislation to help prevent terrorists from entering the U.S. via the Visa Waiver Program",General-Iran,,1,0
6/13/16,18:18:54,R,After,RepStefanik,Today the flags of the @uscapitol are at half-staff to honor the victims of the terrorist attack in Orlando. https://t.co/gjAkdNoaqa,Inside,Other,1,1
6/12/16,20:36:02,R,After,RepPeteKing,Orlando attack is reminder that Islamist terror is a continuing threat 2 Americans overseas &amp; home. Threat greater than any time since 9/11.,Inside,Other,1,1
6/7/13,15:23:07,R,After,RepPeteKing,The NSA surveillance program is a very effective weapon in the war on terror: http://t.co/UXkRcdoi0L,General,,1,0
9/28/12,14:50:16,R,After,RepPeteKing,We were supposed 2 have learnd on 9/11 that we can no longer assume these attacks r criminal matters but are terrorism: http://t.co/Otw5k7DF,General-Islamic,,1,0
5/21/12,16:47:17,R,After,RepPeteKing,Here's @FoxNews report on my call for inquiry into classified info leak of anti-terror op involving Al Qaeda: http://t.co/BiG7Qk6E,General-Islamic,,1,0
5/21/12,15:43:04,R,After,RepPeteKing,I've requestd FBI Dir launch inquiry in2 classified info leak of anti-terror op involving Al Qaeda in Arabian Peninsula http://t.co/UsaqhFou,General-Islamic,,1,0
4/2/12,16:27:17,R,After,RepPeteKing,Calling on Secretary of State Clinton to designate Nigerian Islamist group Boko Haram as Foreign Terrorist Organization http://t.co/V5pIqoNH,General-Islamic,,1,0
2/22/12,15:48:24,R,After,RepPeteKing,Here's video of my appearance on @WPIX this morning on global terror threats: http://t.co/df3cgiYj,General,,1,0
10/13/11,22:44:11,R,After,RepPeteKing,Taping segment for @thekudlowreport on Iranian terror plot to be aired at 7pm: http://t.co/wOkj0JpI and http://t.co/3kQfu09G,General-Iran,,1,0
10/13/11,19:45:35,R,After,RepPeteKing,Will discuss the Iranian terror plot on @TheKudlowReport at 7pm.,General-Iran,,1,0
10/12/11,20:03:39,R,After,RepPeteKing,Getting ready to talk failed Iranian terror plot on @CNN with Wolf Blitzer at 4:05 p.m.: http://t.co/CzRMxZyE,General-Iran,,1,0
10/12/11,17:55:42,R,After,RepPeteKing,Will discuss Iranian terror plot on @CNN at 4:05 p.m.,General-Iran,,1,0
10/12/11,16:39:37,R,After,RepPeteKing,My statement on WMD Center “Bio-Response Report Card” which cites failures in bioterrorism preparedness: http://t.co/vXP6k0ZF,General,,1,0
6/13/16,21:47:21,R,After,RepTomReed,My statement on the horrific terror attack in Orlando: https://t.co/Ps433ipif1 https://t.co/L4tiYGlOCq,Inside,Other,1,1
6/13/16,14:36:34,R,After,RepTomReed,The flags at the U.S. Capitol stand at half-staff to honor the victims of the terror attack in Orlando. https://t.co/3y7uyAWsYm,Inside,Other,1,1
6/12/16,16:15:09,R,After,RepDanDonovan,Praying for #Orlando victims + families. Our freedom and culture will never yield to hateful violence and terror.,Inside,Other,1,1
10/1/15,21:11:38,R,After,RepDanDonovan,I voted for Justice for Victims of Iranian Terrorism Act. Iran should get #notonecent in relief until these families receive their due.,General-Iran,,1,0
10/1/15,13:43:47,R,After,RepDanDonovan,"Today, I'll vote in support of @RepMeehan legislation to stand up for victims of Iranian terrorism #notonecent http://t.co/paC8ng4BZq",General-Iran,,1,0
6/12/16,16:39:48,R,After,RepLeeZeldin,Our entire country mourns the senseless loss of life in #Orlando after terror attack this AM https://t.co/A1uVuoodmA,Inside,Other,1,1
9/23/16,13:35:10,R,After,RepJimRenacci,"TUNE IN: Speaking with @FrantzRadio now about how Iran, the largest state sponsor of terrorism in the world, isn't going to be getting US $",General-Iran,Other,1,0
6/12/16,18:10:34,R,After,PatTiberi,My prayers are with the victims &amp; the people of Orlando. We must stand against these acts of terror that threaten our freedom and values.,Inside,Other,1,1
6/13/16,19:04:51,R,After,RepBradWenstrup,My full statement on the terrorist attack in Orlando: https://t.co/9YmYDVUyyD https://t.co/oIcPmoVS3x,Inside,Other,1,1
6/18/15,13:56:39,R,After,RepBradWenstrup,Heartbroken over the heinous act of terror committed on a Charleston congregation last night. May justice come swiftly to the perpetrator.,Inside,White,1,1
6/12/16,17:53:08,R,After,boblatta,I extend my deepest sympathies to the victims and the families of this horrific terrorist attack in Orlando.,Inside,Other,1,1
10/1/15,20:30:35,R,After,boblatta,#NotOneCent: Justice for Victims of Iranian Terrorism https://t.co/j4hCRFsaRb | https://t.co/61NZ5iHMrU https://t.co/a7nJpytyQ8,General-Iran,Other,1,0
6/13/16,18:24:17,R,After,RepSteveChabot,My thoughts &amp; prayers go out to the families &amp; loved ones of the victims of the horrific Orlando terrorist attack https://t.co/il4PQO2YKJ,Inside,Other,1,1
10/1/15,21:24:58,R,After,KeithRothfus,"Today I joined my House colleagues to pass H.R. 3457, The Justice for Victims of Iranian Terrorism Act. https://t.co/dPQ7vmU5Dn #NotOneCent",General-Iran,,1,0
10/1/15,20:18:52,R,After,RepLouBarletta,Iran should get #NotOneCent of economic relief until they pay the $43.5 billion they owe their terror victims. https://t.co/tZ1D3LHtFl,General-Iran,,1,0
7/17/15,2:46:52,R,After,RepLouBarletta,Evil on display in #Chattanooga in act of domestic terrorism.  We grieve loss of 4 Marines. Pray for the survivors. http://t.co/IyAEiirPnZ,Inside,Other,1,1
10/2/15,15:04:23,R,After,RepCharlieDent,Iran owes billions 2 American victims of state-sponsored terrorism. It should get nothing until it pays. #NotOneCent http://t.co/yUScVR3Ahp,General-Iran,,1,0
10/12/11,21:03:26,R,After,RepCharlieDent,"@JoeLieberman, @USSenScottBrown, Dent and @RepJasonAltmire Introduce Enemy Expatriation Act: http://t.co/UkLZqeZq #terrorism #citizenship",General,,1,0
10/1/15,17:44:12,R,After,RepRyanCostello,The House just passed @RepMeehan's Justice for Victims of Iranian Terrorism Act. I spoke in support of this bill: https://t.co/pXroPyM2tk,General-Iran,Other,1,0
6/13/16,13:01:22,R,After,RepTomMarino,I am disgusted by the heinous terror attack carried out in Orlando. Read my statement here &gt;&gt;&gt; https://t.co/DbvCusWl1Z,Inside,Other,1,1
9/24/16,19:00:03,R,After,RepFitzpatrick,"Despite pleas from 9/11 families, President Obama vetoed the Justice Against Sponsors of Terrorism Act which... https://t.co/bF7hXm8jjk",General-Iran,,1,0
10/1/15,22:00:04,R,After,RepFitzpatrick,It’s unconscionable to think that we would allow the world’s largest state sponsor of terror access to billions... https://t.co/Sw1SN8nSRE,General-Iran,,1,0
10/1/15,12:00:01,R,After,RepFitzpatrick,"Today, the House will stand up for the families of Iranian terrorism. #NotOneCent http://t.co/p9T92XQ8Eb",General-Iran,,1,0
7/17/15,12:00:04,R,After,RepFitzpatrick,"Next week, I will lead the #bipartisan Task Force to Investigate Terrorism Financing in taking a closer look at... http://t.co/glHCakMZO3",General,,1,0
6/17/15,12:00:05,R,After,RepFitzpatrick,The terror threat faced by our nation and our Intelligence Community is more diverse and sophisticated than ever... http://t.co/QQZbFyU8ow,General,,1,0
10/1/15,14:52:07,R,After,RepBillShuster,Proud to support PA colleague @RepMeehan &amp; ensure #NotOneCent in sanctions relief for Iran until it pays $40+ bil owed to victims of terror.,General-Iran,,1,0
7/16/15,17:38:27,R,After,RepBillShuster,"The admin has made crucial concessions that will strengthen Iran’s hand and empower this state sponsor of terror.
http://t.co/LBlw0bQr8U",General-Iran,,1,0
6/11/15,20:29:26,R,After,RepBillShuster,President Obama still has no plan to defeat #ISIL. What do you think we need to do to defeat these radical Islamic terrorists?,General-Islamic,,1,0
6/13/16,12:59:33,R,After,MikeKellyPA,The victims of the #Orlando terrorist attack must remain in our prayers. The defeat of radical Islamism must remain our paramount priority.,Inside,Other,1,1
12/3/15,20:30:48,R,After,MikeKellyPA,"Mr. President: Instead of climate control or gun control, we need terror control and serious American leadership for a world out of control.",Inside,Other,1,1
12/3/15,14:29:35,R,After,MikeKellyPA,Everyone in #SanBernadino continues to be in my deepest prayers. Please keep praying for the victims and their families. Terror cannot win.,Inside,Other,1,1
10/1/15,20:15:53,R,After,MikeKellyPA,Iran must get #NotOneCent in sanctions relief AT LEAST until it fully compensates US victims of its terror. https://t.co/5fyzIbyXCd #HR3457,General-Iran,,1,0
10/1/15,20:08:04,R,After,MikeKellyPA,"#HR3457 reminds #Iran that terrorism against Americans will never be tolerated or forgotten. Senate must pass, POTUS must sign. #NotOneCent",General-Iran,,1,0
10/1/15,18:00:49,R,After,MikeKellyPA,Today the House passed the 'Justice for Victims of Iranian Terrorism Act.' Proud to co-sponsor. VIDEO: https://t.co/5fyzIbyXCd #NotOneCent,General-Iran,,1,0
6/13/16,17:39:46,R,After,CongressmanGT,"Continuing to pray for those in Orlando who were lost, grieving &amp; recovering from the terrorist &amp; senseless violence that took so many lives",Inside,Other,1,1
12/2/15,15:35:57,R,After,CongressmanGT,Attended task force on Combatting Terrorist and Foreign Fighter Travel briefing this AM.  #Safety #Security,Inside,Other,1,1
7/7/16,21:08:17,R,After,RepJoeWilson,Click to watch my questioning in today's hearing with @HouseForeign on the release of #Gitmo terrorists: https://t.co/e7IE5AVkiq,General-Guantanamo ,,1,0
7/7/16,17:05:52,R,After,RepJoeWilson,.@HouseForeign met to discuss the reckless release of #Gitmo terrorists. Spoke w/ @Raffiwilliams on this topic https://t.co/yN1Y5tfkff,General-Guantanamo ,,1,0
6/13/16,18:25:12,R,After,RepJoeWilson,Speaking with @PeterZampa from @WRDW_WAGT on the most recent act of terror in Orlando https://t.co/JY68ouiJMQ,Inside,Other,1,1
6/13/16,15:02:23,R,After,DesJarlaisTN04,Islamic terrorism is real and it is beyond time we started treating it as such. Muslims across the U.S need to disavow radical Islam!,Inside,Other,1,1
6/12/16,19:14:34,R,After,DesJarlaisTN04,I am deeply sadden by today's terrorist attack in Orlando.  My prayers go out to all the families and those affected by this tragedy.,Inside,Other,1,1
10/1/15,15:01:56,R,After,DesJarlaisTN04,Iran owes billions in compensation to the victims of its state-sponsored terrorism. #NotOneCent until they pay up. http://t.co/T5NA2hxJpl,General-Iran,Other,1,1
6/13/16,14:14:10,R,After,RepChuck,Yesterday I joined @BretBaier to discuss the tragic #Orlando terrorist attack &amp; my bill to combat #ISIS @FoxNews https://t.co/0xE3UoNzVq,Inside,Other,1,1
9/23/16,15:06:46,R,After,RepBrianBabin,ICYMI: My effort to stop refugee program from terrorist hotbeds was featured on @FoxNews @SpecialReport w/@BretBaier https://t.co/rKdugmS37p,General,,1,0
6/13/16,17:53:42,R,After,RepBrianBabin,#Orlando terrorist attack yet another sobering reminder we are under attack from Islamic Jihadists. https://t.co/dI5gzm8kWW,Inside,Other,1,1
10/1/15,17:53:57,R,After,PeteSessions,"Proud to support the passage of H.R. 3457,Justice for Victims of Iranian Terrorism Act. Read my full statement here: https://t.co/TpUzeSsW7s",General-Iran,,1,0
4/4/14,22:46:43,R,After,JudgeCarter,I was disappointed today by Holder's answer on why the 09 #FtHood shooting has not been declared an act of terror http://t.co/IBSewTaBpq,Inside,Latino,1,1
4/4/14,19:30:30,R,After,JudgeCarter,I demanded answers from AG Holder on why the 09 #FtHood shooting has not been declared an act of terror. http://t.co/oUU4krxVo5,Inside,Latino,1,1
6/13/16,13:20:58,R,After,RepRWilliams,"This terrorist pledged loyalty to ISIS, and it illustrates that the threat of terrorism has once again made it to our shores",Inside,Other,1,1
6/13/16,13:20:18,R,After,RepRWilliams,"I am appalled by the despicable act of terrorism in Florida, and I am praying for the victims and their families and loved ones",Inside,Other,1,1
6/12/16,20:44:56,R,After,michaelcburgess,I am so grateful for the quick reaction of @OrlandoPolice to prevent even more loss in this terror attack on U.S. soil #PrayersForOrlando,Inside,Other,1,1
6/12/16,21:10:20,R,After,TXRandy14,My statement on the Orlando terror attack. https://t.co/yRqziUmpsp,Inside,Other,1,1
2/26/16,0:41:30,R,After,TXRandy14,As many as one in three former GITMO detainees have returned or are suspected of returning to terrorist orgs. https://t.co/YgaOAxt06P,General-Guantanamo ,,1,0
6/12/16,15:49:19,R,After,RepMcCaul,"Instead, tragedies like this only strengthen our resolve to fight back against terror &amp; prevail over extremism wherever it emerges.",Inside,Other,1,1
6/12/16,15:46:17,R,After,RepMcCaul,This appears to be the worst terrorist attack on American soil since 9/11.,Inside,Other,1,1
6/12/16,18:44:03,R,After,CongCulberson,Horrified and deeply saddened by the acts of terror in Orlando. Our thoughts and prayers are with the victims and families.,Inside,Other,1,1
10/2/15,15:45:00,R,After,CongCulberson,Iran owes $43.5 billion to victims of terror. #NotOneCent of sanction relief until Iran pays up. RT if you agree http://t.co/CbYZv3abzS,General-Iran,,1,0
